mz,intensity
396.0241454,0
396.0252028,0
396.0262603,0
396.0273177,0
400.8043814,0
400.8054581,0
400.8065347,0
400.8076114,0
400.8086881,672.7957764
400.8097647,1743.894653
400.8108414,2972.798584
400.8119181,3642.843994
400.8129948,3398.647949
400.8140715,2410.651123
400.8151482,1177.895386
400.816225,0
400.8173017,0
400.8183784,0
400.8194551,0
400.8980671,0
400.8991441,0
400.9002211,0
400.9012982,0
400.9023752,794.5161743
400.9034523,1852.359009
400.9045294,2596.011719
400.9056064,2542.795654
400.9066835,1729.387573
400.9077606,724.9272461
400.9088383,0
400.9099154,0
400.9109925,0
400.9120696,0
401.8605122,0
401.8615931,0
401.8626741,0
401.863755,0
401.8648359,846.6911621
401.8659169,1903.452026
401.8669978,2560.555176
401.8680787,2261.060303
401.8691597,1234.063354
401.8702409,0
401.8713218,0
401.8724028,0
401.8734838,0
402.1741615,0
402.1752436,0
402.1763258,0
402.177408,0
402.1784902,697.6115112
402.1795724,1953.925537
402.1806546,3038.283691
402.1817368,3330.016602
402.182819,2688.095703
402.1839013,1559.078003
402.1849837,0
402.1860659,0
402.1871481,0
402.1882304,0
402.4253453,0
402.4264285,0
402.4275117,0
402.4285949,0
402.4296781,1167.0979
402.4307613,2066.375732
402.4318445,2450.689941
402.4329278,2047.792236
402.434011,1119.701538
402.4350953,0
402.4361785,0
402.4372617,0
402.438345,0
403.8513605,0
403.8524494,0
403.8535384,0
403.8546274,0
403.8557163,1071.073608
403.8568053,2102.347656
403.8578943,2857.923828
403.8589833,2908.890381
403.8600723,2213.814453
403.8611613,1188.913574
403.8622506,0
403.8633396,0
403.8644286,0
403.8655176,0
404.3440201,0
404.345111,0
404.346202,0
404.347293,0
404.3483839,1045.748901
404.3494749,1905.677246
404.3505659,2221.69873
404.3516569,1739.230347
404.3527478,793.9680786
404.3538399,0
404.3549309,0
404.3560219,0
404.3571129,0
405.8021911,0
405.803288,0
405.8043849,0
405.8054817,0
405.8065786,839.7645874
405.8076755,2295.823486
405.8087724,4287.64502
405.8098693,5514.27832
405.8109661,5074.90332
405.812063,3319.355225
405.8131599,1453.296753
405.814257,0
405.8153539,0
405.8164508,0
405.8175477,0
405.9568924,0
405.9579899,0
405.9590874,0
405.9601849,0
405.9612824,1309.235962
405.9623799,2440.856689
405.9634774,3015.766113
405.9645749,2653.476074
405.9656725,1643.734741
405.9667706,0
405.9678681,0
405.9689657,0
405.9700632,0
406.8142872,0
406.8153882,0
406.8164892,0
406.8175901,0
406.8186911,1023.891113
406.8197921,2003.068237
406.8208931,2804.960205
406.8219941,2772.115967
406.8230951,1861.06958
